transaction_id,sku,quantity,unit_price,total_amount,sale_date,channel
536389-198,21622,8,4.95,39.6,2010-01-12,online
536389-199,21791,12,1.25,15,2010-01-12,online
536389-200,35004C,6,5.45,32.7,2010-01-12,online
536389-201,35004G,4,6.35,25.4,2010-01-12,online
536389-202,85014B,6,5.95,35.7,2010-01-12,online
536389-203,85014A,3,5.95,17.85,2010-01-12,online
536389-204,22193,2,8.5,17,2010-01-12,online
536389-205,22726,4,3.75,15,2010-01-12,online
536389-206,22727,4,3.75,15,2010-01-12,online
536389-207,22192,2,8.5,17,2010-01-12,online
536389-208,22191,2,8.5,17,2010-01-12,online
536389-209,22195,24,1.65,39.6,2010-01-12,online
536389-210,22196,24,0.85,20.4,2010-01-12,online
536390-211,22941,2,8.5,17,2010-01-12,online
536390-212,22960,12,3.75,45,2010-01-12,online
536390-213,22961,12,1.45,17.4,2010-01-12,online
536390-214,22962,48,0.72,34.56,2010-01-12,online
536390-215,22963,48,0.72,34.56,2010-01-12,online
536390-216,22968,8,8.5,68,2010-01-12,online
536390-217,84970S,144,0.64,92.16,2010-01-12,online
536390-218,22910,40,2.55,102,2010-01-12,online
536390-219,20668,288,0.1,28.8,2010-01-12,online
536390-220,85123A,64,2.55,163.2,2010-01-12,online
536390-221,22197,100,0.72,72,2010-01-12,online
536390-222,22198,50,1.45,72.5,2010-01-12,online
536390-223,21533,12,4.25,51,2010-01-12,online
536390-224,21080,96,0.64,61.44,2010-01-12,online
536390-225,21094,96,0.64,61.44,2010-01-12,online
536390-226,21086,48,0.65,31.2,2010-01-12,online
536390-227,21786,144,0.32,46.08,2010-01-12,online
536390-228,22654,40,4.95,198,2010-01-12,online
536390-229,21485,24,4.25,102,2010-01-12,online
536390-230,84029G,24,3.39,81.36,2010-01-12,online
536390-231,84030E,24,3.75,90,2010-01-12,online
536390-232,22174,48,1.48,71.04,2010-01-12,online
536390-233,22969,96,1.25,120,2010-01-12,online
536390-234,85099B,100,1.65,165,2010-01-12,online
536392-242,22150,6,1.95,11.7,2010-01-12,online
536392-243,22619,4,3.75,15,2010-01-12,online
536392-244,21891,12,1.25,15,2010-01-12,online
536392-245,21889,12,1.25,15,2010-01-12,online
536392-246,22827,1,165,165,2010-01-12,online
536392-247,22127,12,1.25,15,2010-01-12,online
536392-248,22128,12,1.25,15,2010-01-12,online
536392-249,22502,4,5.95,23.8,2010-01-12,online
536392-250,84879,16,1.69,27.04,2010-01-12,online
536392-251,22338,24,0.65,15.6,2010-01-12,online
536393-252,22180,8,9.95,79.6,2010-01-12,online
536394-253,21506,24,0.42,10.08,2010-01-12,online
536394-254,22633,96,1.85,177.6,2010-01-12,online
536394-255,22866,96,1.85,177.6,2010-01-12,online
536394-256,22865,96,1.85,177.6,2010-01-12,online
536394-257,22632,96,1.85,177.6,2010-01-12,online
536394-258,21485,12,4.95,59.4,2010-01-12,online
536394-259,22349,12,3.75,45,2010-01-12,online
536394-260,22558,48,1.25,60,2010-01-12,online
536394-261,85152,12,2.1,25.2,2010-01-12,online
536394-262,85123A,32,2.55,81.6,2010-01-12,online
536394-263,22652,20,1.65,33,2010-01-12,online
536395-264,22188,8,3.95,31.6,2010-01-12,online
536395-265,84879,32,1.69,54.08,2010-01-12,online
536395-266,21977,24,0.55,13.2,2010-01-12,online
536395-267,84991,24,0.55,13.2,2010-01-12,online
536395-268,21212,24,0.55,13.2,2010-01-12,online
536395-269,21484,8,3.45,27.6,2010-01-12,online
536395-270,21314,8,2.1,16.8,2010-01-12,online
536395-271,22730,4,3.75,15,2010-01-12,online
536395-272,22727,8,3.75,30,2010-01-12,online
536395-273,22729,8,3.75,30,2010-01-12,online
536395-274,22726,8,3.75,30,2010-01-12,online
536395-275,22114,8,3.95,31.6,2010-01-12,online
536395-276,22867,48,2.1,100.8,2010-01-12,online
536395-277,22866,48,2.1,100.8,2010-01-12,online
536396-278,85123A,6,2.55,15.3,2010-01-12,online
536396-279,71053,6,3.39,20.34,2010-01-12,online
536396-280,84406B,8,2.75,22,2010-01-12,online
536396-281,15056BL,6,4.95,29.7,2010-01-12,online
536396-282,20679,6,4.95,29.7,2010-01-12,online
536396-283,37370,6,1.06,6.36,2010-01-12,online
536396-284,21871,6,1.06,6.36,2010-01-12,online
536396-285,21071,6,1.06,6.36,2010-01-12,online
536396-286,21068,6,1.06,6.36,2010-01-12,online
536396-287,82483,2,4.95,9.9,2010-01-12,online
536396-288,82486,4,6.95,27.8,2010-01-12,online
536396-289,82482,6,2.1,12.6,2010-01-12,online
536396-290,82494L,12,2.55,30.6,2010-01-12,online
536396-291,84029G,6,3.39,20.34,2010-01-12,online
536396-292,84029E,6,3.39,20.34,2010-01-12,online
536396-293,22752,2,7.65,15.3,2010-01-12,online
536396-294,22803,2,35.75,71.5,2010-01-12,online
536396-295,21730,6,4.25,25.5,2010-01-12,online
536397-296,35004B,12,4.65,55.8,2010-01-12,online
536397-297,35004C,48,4.65,223.2,2010-01-12,online
536398-298,21980,24,0.29,6.96,2010-01-12,online
536398-299,21844,6,2.95,17.7,2010-01-12,online
536398-300,22468,4,6.75,27,2010-01-12,online
536398-301,22637,8,2.55,20.4,2010-01-12,online
536398-302,22752,6,8.5,51,2010-01-12,online
536398-303,48185,2,7.95,15.9,2010-01-12,online
536398-304,22632,12,2.1,25.2,2010-01-12,online
536398-305,22866,12,2.1,25.2,2010-01-12,online
536398-306,22865,12,2.1,25.2,2010-01-12,online
536398-307,21232,12,1.25,15,2010-01-12,online
536398-308,22064,12,1.65,19.8,2010-01-12,online
536398-309,22449,6,3.35,20.1,2010-01-12,online
536398-310,22114,4,3.95,15.8,2010-01-12,online
536398-311,22835,8,4.65,37.2,2010-01-12,online
536398-312,22112,9,4.95,44.55,2010-01-12,online
536398-313,21479,4,3.75,15,2010-01-12,online
536398-314,22111,9,4.95,44.55,2010-01-12,online
536399-315,22632,6,1.85,11.1,2010-01-12,online
536399-316,22633,6,1.85,11.1,2010-01-12,online
536400-317,22969,12,1.45,17.4,2010-01-12,online
536401-318,22110,1,2.55,2.55,2010-01-12,online
536401-319,22098,1,1.25,1.25,2010-01-12,online
536401-320,22100,2,1.25,2.5,2010-01-12,online
536401-321,22766,1,2.95,2.95,2010-01-12,online
536401-322,22451,1,3.35,3.35,2010-01-12,online
536401-323,22549,1,1.45,1.45,2010-01-12,online
536401-324,84744,1,1.25,1.25,2010-01-12,online
536401-325,85049E,2,1.25,2.5,2010-01-12,online
536401-326,21328,1,1.65,1.65,2010-01-12,online
536401-327,22961,4,1.45,5.8,2010-01-12,online
536401-328,17091A,1,1.25,1.25,2010-01-12,online
536401-329,22473,1,4.95,4.95,2010-01-12,online
536401-330,84509A,2,3.75,7.5,2010-01-12,online
536401-331,84510A,2,1.25,2.5,2010-01-12,online
536401-332,22767,2,9.95,19.9,2010-01-12,online
536401-333,22768,1,9.95,9.95,2010-01-12,online
536401-334,21463,1,5.95,5.95,2010-01-12,online
536401-335,21464,1,4.25,4.25,2010-01-12,online
536401-336,20820,3,4.95,14.85,2010-01-12,online
536401-337,85150,1,2.55,2.55,2010-01-12,online
536401-338,22117,1,2.95,2.95,2010-01-12,online
536401-339,21169,2,1.69,3.38,2010-01-12,online
536401-340,48129,1,7.95,7.95,2010-01-12,online
536401-341,82580,1,0.55,0.55,2010-01-12,online
536401-342,82578,1,0.55,0.55,2010-01-12,online
536401-343,82581,2,0.55,1.1,2010-01-12,online
536401-344,22413,4,2.95,11.8,2010-01-12,online
536401-345,21907,2,2.1,4.2,2010-01-12,online
536401-346,22441,1,2.1,2.1,2010-01-12,online
536401-347,21122,1,1.25,1.25,2010-01-12,online
536401-348,22851,1,0.85,0.85,2010-01-12,online
536401-349,84991,3,0.55,1.65,2010-01-12,online
536401-350,22810,1,2.95,2.95,2010-01-12,online
536401-351,22809,1,2.95,2.95,2010-01-12,online
536401-352,22435,2,1.25,2.5,2010-01-12,online
536401-353,20966,3,1.25,3.75,2010-01-12,online
536401-354,20963,1,1.25,1.25,2010-01-12,online
536401-355,20961,1,1.25,1.25,2010-01-12,online
536401-356,22068,2,1.65,3.3,2010-01-12,online
536401-357,21743,2,2.95,5.9,2010-01-12,online
536401-358,21744,2,2.95,5.9,2010-01-12,online
536401-359,84709B,1,5.95,5.95,2010-01-12,online
536401-360,21592,1,1.25,1.25,2010-01-12,online
536401-361,21587,2,2.55,5.1,2010-01-12,online
536401-362,20992,9,0.85,7.65,2010-01-12,online
536401-363,22662,1,1.65,1.65,2010-01-12,online
536401-364,85123A,4,2.95,11.8,2010-01-12,online
536401-365,22804,3,2.95,8.85,2010-01-12,online
536401-366,82483,1,5.95,5.95,2010-01-12,online
536401-367,20749,1,7.95,7.95,2010-01-12,online
536401-368,20725,1,1.65,1.65,2010-01-12,online
536401-369,22382,2,1.65,3.3,2010-01-12,online
536401-370,20726,1,1.65,1.65,2010-01-12,online
536401-371,22384,1,1.65,1.65,2010-01-12,online
536401-372,22467,5,2.55,12.75,2010-01-12,online
536401-373,84625C,3,2.95,8.85,2010-01-12,online
536401-374,84625A,3,2.95,8.85,2010-01-12,online
536401-375,21108,9,2.55,22.95,2010-01-12,online
536401-376,22848,1,16.95,16.95,2010-01-12,online
536401-377,21033,4,2.95,11.8,2010-01-12,online
536401-378,47570B,1,10.65,10.65,2010-01-12,online
536401-379,84030E,1,4.25,4.25,2010-01-12,online
536401-380,22428,2,6.95,13.9,2010-01-12,online
536401-381,22502,2,5.95,11.9,2010-01-12,online
536402-382,22086,40,2.55,102,2010-01-12,online
536402-383,22910,40,2.55,102,2010-01-12,online
536402-384,22837,36,4.25,153,2010-01-12,online
536403-385,22867,96,1.85,177.6,2010-01-12,online
536403-386,POST,1,15,15,2010-01-12,online
536404-387,22297,24,1.25,30,2010-01-12,online
536404-388,22771,12,1.25,15,2010-01-12,online
536404-389,22772,12,1.25,15,2010-01-12,online
536404-390,22773,12,1.25,15,2010-01-12,online
536404-391,22805,12,1.25,15,2010-01-12,online
536404-392,22469,12,1.65,19.8,2010-01-12,online
536404-393,22197,36,0.85,30.6,2010-01-12,online
536404-394,21125,12,1.25,15,2010-01-12,online
536404-395,21126,12,1.25,15,2010-01-12,online
536404-396,85049C,12,1.25,15,2010-01-12,online
536404-397,85049D,12,1.25,15,2010-01-12,online
536404-398,85049E,12,1.25,15,2010-01-12,online
536404-399,85049G,12,1.25,15,2010-01-12,online
536404-400,21061,12,0.85,10.2,2010-01-12,online
536404-401,21063,12,0.85,10.2,2010-01-12,online
536404-402,21062,12,0.85,10.2,2010-01-12,online
536404-403,84380,12,1.25,15,2010-01-12,online
536404-404,84378,12,1.25,15,2010-01-12,online
536404-405,22964,12,2.1,25.2,2010-01-12,online
536404-406,21213,24,0.55,13.2,2010-01-12,online
536404-407,22417,24,0.55,13.2,2010-01-12,online
536404-408,21212,24,0.55,13.2,2010-01-12,online
536404-409,84992,24,0.55,13.2,2010-01-12,online
536404-410,21975,24,0.55,13.2,2010-01-12,online
536404-411,22383,10,1.65,16.5,2010-01-12,online
536404-412,20728,10,1.65,16.5,2010-01-12,online
536404-413,20727,10,1.65,16.5,2010-01-12,online
536404-414,22296,24,1.65,39.6,2010-01-12,online
536405-415,20914,128,2.55,326.4,2010-01-12,online
536406-416,85123A,8,2.55,20.4,2010-01-12,online
536406-417,71053,8,3.39,27.12,2010-01-12,online
536406-418,84406B,8,2.75,22,2010-01-12,online
536406-419,20679,6,4.95,29.7,2010-01-12,online
536406-420,37370,6,1.06,6.36,2010-01-12,online
536406-421,21871,6,1.06,6.36,2010-01-12,online
536406-422,21071,6,1.06,6.36,2010-01-12,online
536406-423,21068,6,1.06,6.36,2010-01-12,online
536406-424,82483,4,4.95,19.8,2010-01-12,online
536406-425,82486,4,6.95,27.8,2010-01-12,online
536406-426,82482,6,2.1,12.6,2010-01-12,online
536406-427,82494L,6,2.55,15.3,2010-01-12,online
536406-428,84029G,6,3.39,20.34,2010-01-12,online
536406-429,84029E,6,3.39,20.34,2010-01-12,online
536406-430,22752,2,7.65,15.3,2010-01-12,online
536406-431,22803,2,35.75,71.5,2010-01-12,online
536406-432,21730,6,4.25,25.5,2010-01-12,online
536407-433,22632,6,1.85,11.1,2010-01-12,online
536407-434,22633,6,1.85,11.1,2010-01-12,online
536408-435,22537,24,0.42,10.08,2010-01-12,online
536408-436,22533,24,0.42,10.08,2010-01-12,online
536408-437,20982,12,0.85,10.2,2010-01-12,online
536408-438,21832,12,1.65,19.8,2010-01-12,online
536408-439,21915,12,1.25,15,2010-01-12,online
536408-440,21914,12,1.25,15,2010-01-12,online
536408-441,21544,12,0.85,10.2,2010-01-12,online
536408-442,22813,12,1.95,23.4,2010-01-12,online
536408-443,22114,4,3.95,15.8,2010-01-12,online
536408-444,84029E,4,3.75,15,2010-01-12,online
536408-445,21479,4,3.75,15,2010-01-12,online
536408-446,22964,6,2.1,12.6,2010-01-12,online
536408-447,84375,12,2.1,25.2,2010-01-12,online
536408-448,22418,24,0.85,20.4,2010-01-12,online
536408-449,22178,12,1.25,15,2010-01-12,online
536408-450,84970L,12,0.95,11.4,2010-01-12,online
536408-451,21733,6,2.95,17.7,2010-01-12,online
536408-452,22465,12,1.65,19.8,2010-01-12,online
536408-453,84949,6,1.65,9.9,2010-01-12,online
536408-454,20685,2,7.95,15.9,2010-01-12,online
536408-455,48194,2,7.95,15.9,2010-01-12,online
536408-456,22488,12,1.65,19.8,2010-01-12,online
536408-457,22219,12,0.85,10.2,2010-01-12,online
536408-458,84879,8,1.69,13.52,2010-01-12,online
536408-459,21754,3,5.95,17.85,2010-01-12,online
536408-460,21755,3,5.95,17.85,2010-01-12,online
536408-461,22766,8,2.95,23.6,2010-01-12,online
536408-462,22610,36,0.85,30.6,2010-01-12,online
536408-463,22716,12,0.42,5.04,2010-01-12,online
536408-464,22706,25,0.42,10.5,2010-01-12,online
536408-465,22371,4,4.25,17,2010-01-12,online
536408-466,85014B,3,5.95,17.85,2010-01-12,online
536408-467,85014A,3,5.95,17.85,2010-01-12,online
536408-468,84997B,6,3.75,22.5,2010-01-12,online
536408-469,21212,24,0.55,13.2,2010-01-12,online
536408-470,21210,12,1.45,17.4,2010-01-12,online
536408-471,22914,3,4.95,14.85,2010-01-12,online
536408-472,22553,12,1.65,19.8,2010-01-12,online
536408-473,16237,30,0.21,6.3,2010-01-12,online
536408-474,22714,12,0.42,5.04,2010-01-12,online
536408-475,22812,12,1.95,23.4,2010-01-12,online
536408-476,84347,6,2.55,15.3,2010-01-12,online
536408-477,21587,12,2.55,30.6,2010-01-12,online
536408-478,22736,10,1.65,16.5,2010-01-12,online
536408-479,22492,36,0.65,23.4,2010-01-12,online
536408-480,22620,12,1.25,15,2010-01-12,online
536408-481,22619,4,3.75,15,2010-01-12,online
536408-482,21705,12,1.65,19.8,2010-01-12,online
536409-483,90199C,3,6.35,19.05,2010-01-12,online
536409-484,21479,1,3.75,3.75,2010-01-12,online
536409-485,22111,1,4.95,4.95,2010-01-12,online
536409-486,22785,1,6.75,6.75,2010-01-12,online
536409-487,22975,1,1.25,1.25,2010-01-12,online
536409-488,22972,1,1.65,1.65,2010-01-12,online
536409-489,22866,1,2.1,2.1,2010-01-12,online
536409-490,22568,1,3.75,3.75,2010-01-12,online
536409-491,85116,1,2.1,2.1,2010-01-12,online
536409-492,22664,1,2.1,2.1,2010-01-12,online
536409-493,21609,1,2.95,2.95,2010-01-12,online
536409-494,21866,1,1.25,1.25,2010-01-12,online
536409-495,20669,1,1.25,1.25,2010-01-12,online
536409-496,90129F,1,2.95,2.95,2010-01-12,online
536409-497,90210B,1,2.95,2.95,2010-01-12,online
536409-498,90199C,1,6.35,6.35,2010-01-12,online
536409-499,21955,1,7.95,7.95,2010-01-12,online
536409-500,72802C,1,4.25,4.25,2010-01-12,online
536409-501,22109,1,3.75,3.75,2010-01-12,online
536409-502,85116,5,2.1,10.5,2010-01-12,online
536409-503,22531,1,0.42,0.42,2010-01-12,online
536409-504,21811,1,1.25,1.25,2010-01-12,online
536409-505,22183,1,6.75,6.75,2010-01-12,online
536409-506,21678,6,0.85,5.1,2010-01-12,online
536409-507,21676,6,0.85,5.1,2010-01-12,online
536409-508,84625A,1,2.95,2.95,2010-01-12,online
536409-509,84625C,3,2.95,8.85,2010-01-12,online
536409-510,21931,2,1.95,3.9,2010-01-12,online
536409-511,85169B,12,1.25,15,2010-01-12,online
536409-512,16238,28,0.21,5.88,2010-01-12,online
536409-513,20668,24,0.12,2.88,2010-01-12,online
536409-514,84906,1,5.95,5.95,2010-01-12,online
536409-515,21867,1,1.25,1.25,2010-01-12,online
536409-516,22075,1,1.65,1.65,2010-01-12,online
536409-517,21866,1,1.25,1.25,2010-01-12,online
536409-518,21326,12,0.65,7.8,2010-01-12,online
536409-519,21065,1,5.95,5.95,2010-01-12,online
536409-520,22074,1,1.65,1.65,2010-01-12,online
536409-521,22900,1,2.95,2.95,2010-01-12,online
536409-522,20713,1,1.95,1.95,2010-01-12,online
536409-523,20966,2,1.25,2.5,2010-01-12,online
536409-524,21116,1,4.95,4.95,2010-01-12,online
536409-525,90199C,2,6.35,12.7,2010-01-12,online
536409-526,22633,1,2.1,2.1,2010-01-12,online
536409-527,22866,1,2.1,2.1,2010-01-12,online
536409-528,22198,1,1.65,1.65,2010-01-12,online
