sku,name,category,supplier_id,cost_price,selling_price,supplier_lead_time_days
21559,STRAWBERRY LUNCH BOX WITH CUTLERY,Giftware,SUP-1,1.78,2.55,7
22352,LUNCH BOX WITH CUTLERY RETROSPOT,Giftware,SUP-1,1.78,2.55,7
21212,PACK OF 72 RETROSPOT CAKE CASES,Giftware,SUP-1,0.29,0.42,7
21975,PACK OF 60 DINOSAUR CAKE CASES,Giftware,SUP-1,0.39,0.55,7
21977,PACK OF 60 PINK PAISLEY CAKE CASES,Giftware,SUP-1,0.39,0.55,7
84991,60 TEATIME FAIRY CAKE CASES,Giftware,SUP-1,0.39,0.55,7
84519A,TOMATO CHARLIE+LOLA COASTER SET,Giftware,SUP-1,2.06,2.95,7
85183B,CHARLIE & LOLA WASTEPAPER BIN FLORA,Giftware,SUP-1,0.88,1.25,7
85071B,RED CHARLIE+LOLA PERSONAL DOORSIGN,Giftware,SUP-1,0.27,0.38,7
21931,JUMBO STORAGE BAG SUKI,Giftware,SUP-1,1.36,1.95,7
21929,JUMBO BAG PINK VINTAGE PAISLEY,Giftware,SUP-1,1.36,1.95,7
22961,JAM MAKING SET PRINTED,Giftware,SUP-1,1.01,1.45,7
22139,RETROSPOT TEA SET CERAMIC 11 PC,Giftware,SUP-1,2.97,4.25,7
84854,GIRLY PINK TOOL SET,Giftware,SUP-1,3.46,4.95,7
22411,JUMBO SHOPPER VINTAGE RED PAISLEY,Giftware,SUP-1,1.36,1.95,7
82567,"AIRLINE LOUNGE,METAL SIGN",Giftware,SUP-1,1.47,2.1,7
21672,WHITE SPOT RED CERAMIC DRAWER KNOB,Giftware,SUP-1,0.88,1.25,7
22774,RED DRAWER KNOB ACRYLIC EDWARDIAN,Giftware,SUP-1,0.88,1.25,7
22771,CLEAR DRAWER KNOB ACRYLIC EDWARDIAN,Giftware,SUP-1,0.88,1.25,7
71270,PHOTO CLIP LINE,Giftware,SUP-1,0.88,1.25,7
22262,FELT EGG COSY CHICKEN,Giftware,SUP-1,0.59,0.85,7
22637,PIGGY BANK RETROSPOT,Giftware,SUP-1,1.78,2.55,7
21934,SKULL SHOULDER BAG,Giftware,SUP-1,1.15,1.65,7
21169,YOU'RE CONFUSING ME METAL SIGN,Giftware,SUP-1,1.18,1.69,7
21166,COOK WITH WINE METAL SIGN,Giftware,SUP-1,1.36,1.95,7
21175,GIN + TONIC DIET METAL SIGN,Giftware,SUP-1,1.47,2.1,7
37444A,YELLOW BREAKFAST CUP AND SAUCER,Giftware,SUP-1,2.06,2.95,7
37444C,PINK BREAKFAST CUP AND SAUCER,Giftware,SUP-1,2.06,2.95,7
22083,PAPER CHAIN KIT RETROSPOT,Giftware,SUP-1,2.06,2.95,7
84971S,SMALL HEART FLOWERS HOOK,Giftware,SUP-1,0.59,0.85,7
47580,TEA TIME DES TEA COSY,Giftware,SUP-1,1.78,2.55,7
22261,FELT EGG COSY WHITE RABBIT,Giftware,SUP-1,0.59,0.85,7
84832,ZINC WILLIE WINKIE  CANDLE STICK,Giftware,SUP-1,0.59,0.85,7
22644,CERAMIC CHERRY CAKE MONEY BANK,Giftware,SUP-1,1.01,1.45,7
21533,RETROSPOT LARGE MILK JUG,Giftware,SUP-1,3.46,4.95,7
21557,SET OF 6 FUNKY BEAKERS,Giftware,SUP-1,2.06,2.95,7
15056BL,EDWARDIAN PARASOL BLACK,Giftware,SUP-1,4.17,5.95,7
15056N,EDWARDIAN PARASOL NATURAL,Giftware,SUP-1,4.17,5.95,7
22646,CERAMIC STRAWBERRY CAKE MONEY BANK,Giftware,SUP-1,1.01,1.45,7
22176,BLUE OWL SOFT TOY,Giftware,SUP-1,2.06,2.95,7
22438,BALLOON ART MAKE YOUR OWN FLOWERS,Giftware,SUP-1,1.36,1.95,7
22778,GLASS CLOCHE SMALL,Giftware,SUP-1,2.77,3.95,7
22719,GUMBALL MONOCHROME COAT RACK,Giftware,SUP-1,0.74,1.06,7
21523,DOORMAT FANCY FONT HOME SWEET HOME,Giftware,SUP-1,4.72,6.75,7
21912,VINTAGE SNAKES & LADDERS,Giftware,SUP-1,2.63,3.75,7
21832,CHOCOLATE CALCULATOR,Giftware,SUP-1,1.15,1.65,7
22379,RECYCLING BAG RETROSPOT,Giftware,SUP-1,1.47,2.1,7
22381,TOY TIDY PINK POLKADOT,Giftware,SUP-1,1.29,1.85,7
22798,ANTIQUE GLASS DRESSING TABLE POT,Giftware,SUP-1,2.06,2.95,7
22926,IVORY GIANT GARDEN THERMOMETER,Giftware,SUP-1,4.17,5.95,7
22839,3 TIER CAKE TIN GREEN AND CREAM,Giftware,SUP-1,10.46,14.95,7
22838,3 TIER CAKE TIN RED AND CREAM,Giftware,SUP-1,10.46,14.95,7
22783,SET 3 WICKER OVAL BASKETS W LIDS,Giftware,SUP-1,11.86,16.95,7
82484,WOOD BLACK BOARD ANT WHITE FINISH,Giftware,SUP-1,4.51,6.45,7
84755,COLOUR GLASS T-LIGHT HOLDER HANGING,Giftware,SUP-1,0.45,0.65,7
22464,HANGING METAL HEART LANTERN,Giftware,SUP-1,1.15,1.65,7
21324,HANGING MEDINA LANTERN SMALL,Giftware,SUP-1,2.06,2.95,7
22457,NATURAL SLATE HEART CHALKBOARD,Giftware,SUP-1,2.06,2.95,7
22469,HEART OF WICKER SMALL,Giftware,SUP-1,1.01,1.45,7
22470,HEART OF WICKER LARGE,Giftware,SUP-1,1.78,2.55,7
22224,WHITE LOVEBIRD LANTERN,Giftware,SUP-1,2.06,2.95,7
21340,CLASSIC METAL BIRDCAGE PLANT HOLDER,Giftware,SUP-1,8.92,12.75,7
22189,CREAM HEART CARD HOLDER,Giftware,SUP-1,2.77,3.95,7
22427,ENAMEL FLOWER JUG CREAM,Giftware,SUP-1,4.17,5.95,7
22428,ENAMEL FIRE BUCKET CREAM,Giftware,SUP-1,4.87,6.95,7
22424,ENAMEL BREAD BIN CREAM,Giftware,SUP-1,7.66,10.95,7
22663,JUMBO BAG DOLLY GIRL DESIGN,Giftware,SUP-1,1.36,1.95,7
85049A,TRADITIONAL CHRISTMAS RIBBONS,Giftware,SUP-1,0.88,1.25,7
22168,ORGANISER WOOD ANTIQUE WHITE,Giftware,SUP-1,5.95,8.5,7
22662,LUNCH BAG DOLLY GIRL DESIGN,Giftware,SUP-1,1.15,1.65,7
84880,WHITE WIRE EGG HOLDER,Giftware,SUP-1,3.46,4.95,7
85099B,JUMBO BAG RED RETROSPOT,Giftware,SUP-1,1.15,1.65,7
79321,CHILLI LIGHTS,Giftware,SUP-1,2.67,3.82,7
22780,LIGHT GARLAND BUTTERFILES PINK,Giftware,SUP-1,2.36,3.37,7
22779,WOODEN OWLS LIGHT GARLAND,Giftware,SUP-1,2.36,3.37,7
22466,FAIRY TALE COTTAGE NIGHTLIGHT,Giftware,SUP-1,1.01,1.45,7
21363,HOME SMALL WOOD LETTERS,Giftware,SUP-1,3.46,4.95,7
21411,GINGHAM HEART  DOORSTOP RED,Giftware,SUP-1,2.97,4.25,7
22318,FIVE HEART HANGING DECORATION,Giftware,SUP-1,2.06,2.95,7
22915,ASSORTED BOTTLE TOP  MAGNETS,Giftware,SUP-1,0.29,0.42,7
22922,FRIDGE MAGNETS US DINER ASSORTED,Giftware,SUP-1,0.59,0.85,7
22969,HOMEMADE JAM SCENTED CANDLES,Giftware,SUP-1,1.01,1.45,7
22923,FRIDGE MAGNETS LES ENFANTS ASSORTED,Giftware,SUP-1,0.59,0.85,7
21115,ROSE CARAVAN DOORSTOP,Giftware,SUP-1,4.72,6.75,7
22242,5 HOOK HANGER MAGIC TOADSTOOL,Giftware,SUP-1,1.15,1.65,7
22941,CHRISTMAS LIGHTS 10 REINDEER,Giftware,SUP-1,5.95,8.5,7
21622,VINTAGE UNION JACK CUSHION COVER,Giftware,SUP-1,3.46,4.95,7
35004C,SET OF 3 COLOURED  FLYING DUCKS,Giftware,SUP-1,3.81,5.45,7
35004G,SET OF 3 GOLD FLYING DUCKS,Giftware,SUP-1,4.44,6.35,7
85014B,RED RETROSPOT UMBRELLA,Giftware,SUP-1,4.17,5.95,7
85014A,BLACK/BLUE POLKADOT UMBRELLA,Giftware,SUP-1,4.17,5.95,7
22193,RED DINER WALL CLOCK,Giftware,SUP-1,5.95,8.5,7
22192,BLUE DINER WALL CLOCK,Giftware,SUP-1,5.95,8.5,7
22191,IVORY DINER WALL CLOCK,Giftware,SUP-1,5.95,8.5,7
22195,LARGE HEART MEASURING SPOONS,Giftware,SUP-1,1.15,1.65,7
22196,SMALL HEART MEASURING SPOONS,Giftware,SUP-1,0.59,0.85,7
22962,JAM JAR WITH PINK LID,Giftware,SUP-1,0.5,0.72,7
22963,JAM JAR WITH GREEN LID,Giftware,SUP-1,0.5,0.72,7
22968,ROSE COTTAGE KEEPSAKE BOX,Giftware,SUP-1,5.95,8.5,7
84970S,HANGING HEART ZINC T-LIGHT HOLDER,Giftware,SUP-1,0.45,0.64,7
22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,Giftware,SUP-1,1.78,2.55,7
20668,DISCO BALL CHRISTMAS DECORATION,Giftware,SUP-1,0.07,0.1,7
22197,SMALL POPCORN HOLDER,Giftware,SUP-1,0.5,0.72,7
22198,LARGE POPCORN HOLDER,Giftware,SUP-1,1.01,1.45,7
21080,SET/20 RED RETROSPOT PAPER NAPKINS,Giftware,SUP-1,0.45,0.64,7
21086,SET/6 RED SPOTTY PAPER CUPS,Giftware,SUP-1,0.45,0.65,7
21786,POLKADOT RAIN HAT,Giftware,SUP-1,0.22,0.32,7
22654,DELUXE SEWING KIT,Giftware,SUP-1,3.46,4.95,7
21485,RETROSPOT HEART HOT WATER BOTTLE,Giftware,SUP-1,2.97,4.25,7
84030E,ENGLISH ROSE HOT WATER BOTTLE,Giftware,SUP-1,2.63,3.75,7
22174,PHOTO CUBE,Giftware,SUP-1,1.04,1.48,7
22150,3 STRIPEY MICE FELTCRAFT,Giftware,SUP-1,1.36,1.95,7
22619,SET OF 6 SOLDIER SKITTLES,Giftware,SUP-1,2.63,3.75,7
21891,TRADITIONAL WOODEN SKIPPING ROPE,Giftware,SUP-1,0.88,1.25,7
21889,WOODEN BOX OF DOMINOES,Giftware,SUP-1,0.88,1.25,7
22827,RUSTIC  SEVENTEEN DRAWER SIDEBOARD,Giftware,SUP-1,115.5,165,7
22127,PARTY CONES CARNIVAL ASSORTED,Giftware,SUP-1,0.88,1.25,7
22128,PARTY CONES CANDY ASSORTED,Giftware,SUP-1,0.88,1.25,7
22502,PICNIC BASKET WICKER SMALL,Giftware,SUP-1,4.17,5.95,7
22338,STAR DECORATION PAINTED ZINC,Giftware,SUP-1,0.45,0.65,7
22180,RETROSPOT LAMP,Giftware,SUP-1,6.96,9.95,7
21506,"FANCY FONT BIRTHDAY CARD,",Giftware,SUP-1,0.29,0.42,7
22866,HAND WARMER SCOTTY DOG DESIGN,Giftware,SUP-1,1.29,1.85,7
22865,HAND WARMER OWL DESIGN,Giftware,SUP-1,1.29,1.85,7
22349,DOG BOWL CHASING BALL DESIGN,Giftware,SUP-1,2.63,3.75,7
22558,CLOTHES PEGS RETROSPOT PACK 24,Giftware,SUP-1,0.88,1.25,7
85152,HAND OVER THE CHOCOLATE   SIGN,Giftware,SUP-1,1.47,2.1,7
22652,TRAVEL SEWING KIT,Giftware,SUP-1,1.15,1.65,7
22188,BLACK HEART CARD HOLDER,Giftware,SUP-1,2.77,3.95,7
21484,CHICK GREY HOT WATER BOTTLE,Giftware,SUP-1,2.42,3.45,7
21314,SMALL GLASS HEART TRINKET POT,Giftware,SUP-1,1.47,2.1,7
22730,ALARM CLOCK BAKELIKE IVORY,Giftware,SUP-1,2.63,3.75,7
22729,ALARM CLOCK BAKELIKE ORANGE,Giftware,SUP-1,2.63,3.75,7
22867,HAND WARMER BIRD DESIGN,Giftware,SUP-1,1.47,2.1,7
22803,IVORY EMBROIDERED QUILT,Giftware,SUP-1,25.02,35.75,7
35004B,SET OF 3 BLACK FLYING DUCKS,Giftware,SUP-1,3.25,4.65,7
21980,PACK OF 12 RED RETROSPOT TISSUES,Giftware,SUP-1,0.2,0.29,7
21844,RED RETROSPOT MUG,Giftware,SUP-1,2.06,2.95,7
22468,BABUSHKA LIGHTS STRING OF 10,Giftware,SUP-1,4.72,6.75,7
48185,DOORMAT FAIRY CAKE,Giftware,SUP-1,5.56,7.95,7
21232,STRAWBERRY CERAMIC TRINKET BOX,Giftware,SUP-1,0.88,1.25,7
22064,PINK DOUGHNUT TRINKET POT,Giftware,SUP-1,1.15,1.65,7
22449,SILK PURSE BABUSHKA PINK,Giftware,SUP-1,2.34,3.35,7
22835,HOT WATER BOTTLE I AM SO POORLY,Giftware,SUP-1,3.25,4.65,7
22112,CHOCOLATE HOT WATER BOTTLE,Giftware,SUP-1,3.46,4.95,7
21479,WHITE SKULL HOT WATER BOTTLE,Giftware,SUP-1,2.63,3.75,7
22111,SCOTTIE DOG HOT WATER BOTTLE,Giftware,SUP-1,3.46,4.95,7
22110,BIRD HOUSE HOT WATER BOTTLE,Giftware,SUP-1,1.78,2.55,7
22098,BOUDOIR SQUARE TISSUE BOX,Giftware,SUP-1,0.88,1.25,7
22100,SKULLS SQUARE TISSUE BOX,Giftware,SUP-1,0.88,1.25,7
22766,PHOTO FRAME CORNICE,Giftware,SUP-1,2.06,2.95,7
22451,SILK PURSE BABUSHKA RED,Giftware,SUP-1,2.34,3.35,7
22549,PICTURE DOMINOES,Giftware,SUP-1,1.01,1.45,7
84744,S/6 SEW ON CROCHET FLOWERS,Giftware,SUP-1,0.88,1.25,7
85049E,SCANDINAVIAN REDS RIBBONS,Giftware,SUP-1,0.88,1.25,7
21328,BALLOONS  WRITING SET,Giftware,SUP-1,1.15,1.65,7
17091A,LAVENDER INCENSE IN TIN,Giftware,SUP-1,0.88,1.25,7
22473,TV DINNER TRAY VINTAGE PAISLEY,Giftware,SUP-1,3.46,4.95,7
84509A,SET OF 4 ENGLISH ROSE PLACEMATS,Giftware,SUP-1,2.63,3.75,7
84510A,SET OF 4 ENGLISH ROSE COASTERS,Giftware,SUP-1,0.88,1.25,7
22767,TRIPLE PHOTO FRAME CORNICE,Giftware,SUP-1,6.96,9.95,7
22768,FAMILY PHOTO FRAME CORNICE,Giftware,SUP-1,6.96,9.95,7
21463,MIRRORED DISCO BALL,Giftware,SUP-1,4.17,5.95,7
21464,DISCO BALL ROTATOR BATTERY OPERATED,Giftware,SUP-1,2.97,4.25,7
20820,SILVER LOOKING MIRROR,Giftware,SUP-1,3.46,4.95,7
85150,LADIES & GENTLEMEN METAL SIGN,Giftware,SUP-1,1.78,2.55,7
22117,METAL SIGN HER DINNER IS SERVED,Giftware,SUP-1,2.06,2.95,7
48129,DOORMAT TOPIARY,Giftware,SUP-1,5.56,7.95,7
82580,BATHROOM METAL SIGN,Giftware,SUP-1,0.39,0.55,7
82578,KITCHEN METAL SIGN,Giftware,SUP-1,0.39,0.55,7
82581,TOILET METAL SIGN,Giftware,SUP-1,0.39,0.55,7
22413,METAL SIGN TAKE IT OR LEAVE IT,Giftware,SUP-1,2.06,2.95,7
21907,I'M ON HOLIDAY METAL SIGN,Giftware,SUP-1,1.47,2.1,7
22441,GROW YOUR OWN BASIL IN ENAMEL MUG,Giftware,SUP-1,1.47,2.1,7
21122,SET/10 PINK POLKADOT PARTY CANDLES,Giftware,SUP-1,0.88,1.25,7
22851,SET 20 NAPKINS FAIRY CAKES DESIGN,Giftware,SUP-1,0.59,0.85,7
22810,SET OF 6 T-LIGHTS SNOWMEN,Giftware,SUP-1,2.06,2.95,7
22809,SET OF 6 T-LIGHTS SANTA,Giftware,SUP-1,2.06,2.95,7
22435,SET OF 9 HEART SHAPED BALLOONS,Giftware,SUP-1,0.88,1.25,7
20966,SANDWICH BATH SPONGE,Giftware,SUP-1,0.88,1.25,7
20963,APPLE BATH SPONGE,Giftware,SUP-1,0.88,1.25,7
20961,STRAWBERRY BATH SPONGE,Giftware,SUP-1,0.88,1.25,7
22068,BLACK PIRATE TREASURE CHEST,Giftware,SUP-1,1.15,1.65,7
21743,STAR PORTABLE TABLE LIGHT,Giftware,SUP-1,2.06,2.95,7
21744,SNOWFLAKE PORTABLE TABLE LIGHT,Giftware,SUP-1,2.06,2.95,7
84709B,PINK OVAL JEWELLED MIRROR,Giftware,SUP-1,4.17,5.95,7
21592,RETROSPOT CIGAR BOX MATCHES,Giftware,SUP-1,0.88,1.25,7
21587,COSY HOUR GIANT TUBE MATCHES,Giftware,SUP-1,1.78,2.55,7
20992,JAZZ HEARTS PURSE NOTEBOOK,Giftware,SUP-1,0.59,0.85,7
22804,CANDLEHOLDER PINK HANGING HEART,Giftware,SUP-1,2.06,2.95,7
20749,ASSORTED COLOUR MINI CASES,Giftware,SUP-1,5.56,7.95,7
22382,LUNCH BAG SPACEBOY DESIGN,Giftware,SUP-1,1.15,1.65,7
20726,LUNCH BAG WOODLAND,Giftware,SUP-1,1.15,1.65,7
22384,LUNCH BAG PINK POLKADOT,Giftware,SUP-1,1.15,1.65,7
22467,GUMBALL COAT RACK,Giftware,SUP-1,1.78,2.55,7
84625C,BLUE NEW BAROQUE CANDLESTICK CANDLE,Giftware,SUP-1,2.06,2.95,7
84625A,PINK NEW BAROQUECANDLESTICK CANDLE,Giftware,SUP-1,2.06,2.95,7
21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,Giftware,SUP-1,1.78,2.55,7
22848,BREAD BIN DINER STYLE PINK,Giftware,SUP-1,11.86,16.95,7
47570B,TEA TIME TABLE CLOTH,Giftware,SUP-1,7.46,10.65,7
22837,HOT WATER BOTTLE BABUSHKA,Giftware,SUP-1,2.97,4.25,7
22297,HEART IVORY TRELLIS SMALL,Giftware,SUP-1,0.88,1.25,7
22772,PINK DRAWER KNOB ACRYLIC EDWARDIAN,Giftware,SUP-1,0.88,1.25,7
22773,GREEN DRAWER KNOB ACRYLIC EDWARDIAN,Giftware,SUP-1,0.88,1.25,7
22805,BLUE DRAWER KNOB ACRYLIC EDWARDIAN,Giftware,SUP-1,0.88,1.25,7
21125,SET 6 FOOTBALL CELEBRATION CANDLES,Giftware,SUP-1,0.88,1.25,7
21126,SET OF 6 GIRLS CELEBRATION CANDLES,Giftware,SUP-1,0.88,1.25,7
85049C,ROMANTIC PINKS RIBBONS,Giftware,SUP-1,0.88,1.25,7
85049D,BRIGHT BLUES RIBBONS,Giftware,SUP-1,0.88,1.25,7
85049G,CHOCOLATE BOX RIBBONS,Giftware,SUP-1,0.88,1.25,7
21061,PARTY INVITES FOOTBALL,Giftware,SUP-1,0.59,0.85,7
21063,PARTY INVITES JAZZ HEARTS,Giftware,SUP-1,0.59,0.85,7
21062,PARTY INVITES SPACEMAN,Giftware,SUP-1,0.59,0.85,7
84380,SET OF 3 BUTTERFLY COOKIE CUTTERS,Giftware,SUP-1,0.88,1.25,7
84378,SET OF 3 HEART COOKIE CUTTERS,Giftware,SUP-1,0.88,1.25,7
22964,3 PIECE SPACEBOY COOKIE CUTTER SET,Giftware,SUP-1,1.47,2.1,7
21213,PACK OF 72 SKULL CAKE CASES,Giftware,SUP-1,0.39,0.55,7
22417,PACK OF 60 SPACEBOY CAKE CASES,Giftware,SUP-1,0.39,0.55,7
84992,72 SWEETHEART FAIRY CAKE CASES,Giftware,SUP-1,0.39,0.55,7
22383,LUNCH BAG SUKI  DESIGN,Giftware,SUP-1,1.15,1.65,7
20728,LUNCH BAG CARS BLUE,Giftware,SUP-1,1.15,1.65,7
20727,LUNCH BAG  BLACK SKULL.,Giftware,SUP-1,1.15,1.65,7
22296,HEART IVORY TRELLIS LARGE,Giftware,SUP-1,1.15,1.65,7
20914,SET/5 RED RETROSPOT LID GLASS BOWLS,Giftware,SUP-1,1.78,2.55,7
22537,MAGIC DRAWING SLATE DINOSAUR,Giftware,SUP-1,0.29,0.42,7
22533,MAGIC DRAWING SLATE BAKE A CAKE,Giftware,SUP-1,0.29,0.42,7
20982,12 PENCILS TALL TUBE SKULLS,Giftware,SUP-1,0.59,0.85,7
21915,RED  HARMONICA IN BOX,Giftware,SUP-1,0.88,1.25,7
21914,BLUE HARMONICA IN BOX,Giftware,SUP-1,0.88,1.25,7
21544,SKULLS  WATER TRANSFER TATTOOS,Giftware,SUP-1,0.59,0.85,7
22813,PACK 3 BOXES BIRD PANNETONE,Giftware,SUP-1,1.36,1.95,7
84375,SET OF 20 KIDS COOKIE CUTTERS,Giftware,SUP-1,1.47,2.1,7
22418,10 COLOUR SPACEBOY PEN,Giftware,SUP-1,0.59,0.85,7
22178,VICTORIAN GLASS HANGING T-LIGHT,Giftware,SUP-1,0.88,1.25,7
84970L,SINGLE HEART ZINC T-LIGHT HOLDER,Giftware,SUP-1,0.66,0.95,7
22465,HANGING METAL STAR LANTERN,Giftware,SUP-1,1.15,1.65,7
84949,SILVER HANGING T-LIGHT HOLDER,Giftware,SUP-1,1.15,1.65,7
20685,DOORMAT RED RETROSPOT,Giftware,SUP-1,5.56,7.95,7
48194,DOORMAT HEARTS,Giftware,SUP-1,5.56,7.95,7
22488,NATURAL SLATE RECTANGLE CHALKBOARD,Giftware,SUP-1,1.15,1.65,7
22219,LOVEBIRD HANGING DECORATION WHITE,Giftware,SUP-1,0.59,0.85,7
22610,PENS ASSORTED FUNNY FACE,Giftware,SUP-1,0.59,0.85,7
22716,CARD CIRCUS PARADE,Giftware,SUP-1,0.29,0.42,7
22706,WRAP COWBOYS,Giftware,SUP-1,0.29,0.42,7
22371,AIRLINE BAG VINTAGE TOKYO 78,Giftware,SUP-1,2.97,4.25,7
21210,SET OF 72 RETROSPOT PAPER  DOILIES,Giftware,SUP-1,1.01,1.45,7
22553,PLASTERS IN TIN SKULLS,Giftware,SUP-1,1.15,1.65,7
